competition_track,canonical_position_code,gap_slot,candidate_name,nationality,active_from,active_to,owner,source_primary,source_secondary,fit_rationale,status,next_action
feminino,volante,1,Debinha,Brazil,2008,2026,Diego Torres,https://www.fifa.com/en/archive,https://www.concacaf.com/,"mobilidade, leitura entre linhas e versatilidade central",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,lateral_esquerdo,1,David Alaba,Austria,2009,2026,Helena Martins,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,"versatilidade, elite competitiva e inteligencia de corredor",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,ponta_direita,1,Bernardo Silva,Portugal,2013,2026,Lara Nascimento,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,"controle, associacao e criatividade pelo lado direito",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,ponta_direita,2,Bukayo Saka,England,2018,2026,Lara Nascimento,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,"versatilidade, decisao e impacto moderno por fora",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,ponta_direita,3,Leroy Sane,Germany,2014,2026,Lara Nascimento,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,"velocidade, ruptura e capacidade de desequilibrio",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,ponta_esquerda,1,Vinicius Junior,Brazil,2017,2026,Lara Nascimento,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,"drible, ruptura e protagonismo recente em elite",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,ponta_esquerda,2,Son Heung-min,South Korea,2010,2026,Lara Nascimento,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,"finalizacao, transicao e consistencia ofensiva de alto nivel",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,ponta_esquerda,3,Eden Hazard,Belgium,2007,2024,Lara Nascimento,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,"drible curto, condu??o e impacto criativo pelo lado",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,segundo_atacante,1,Thomas Muller,Germany,2008,2026,Diego Torres,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,"leitura de espaco, associacao e producao ofensiva fora do obvio",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,segundo_atacante,2,Alessandro Del Piero,Italy,1991,2014,Diego Torres,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,"refino tecnico, segundo atacante classico e decisivo",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
masculino,segundo_atacante,3,Roberto Baggio,Italy,1982,2004,Diego Torres,https://www.fifa.com/en/archive,https://www.transfermarkt.com/,"criacao, ultimo passe e impacto historico entre linhas",approved_for_top10_unique_fill,promovido para completar top 10 auditado unico
