competition_track,canonical_position_code,discovery_slot,priority_block,owner,target_phase,candidate_name,nationality,active_from,active_to,source_primary,source_secondary,source_status,audit_status,fit_rationale,discovery_status,next_action,notes
feminino,ponta_direita,4,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Delphine Cascarino,France,2009,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"aceleracao, um contra um e profundidade",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_direita,5,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Chloe Kelly,England,2015,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"explosao, agressividade e chegada no ultimo terco",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_esquerda,1,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Megan Rapinoe,United States,2006,2023,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,"cria??o, bola parada e legado competitivo global",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_esquerda,2,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Lieke Martens,Netherlands,2009,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"drible, desequilibrio e repertorio ofensivo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_esquerda,3,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Pernille Harder,Denmark,2008,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"mobilidade, cria??o e produ??o ofensiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_esquerda,4,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Guro Reiten,Norway,2010,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"cruzamento, jogo associativo e consistencia t?tica",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_esquerda,5,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Mallory Swanson,United States,2013,2026,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,"velocidade, ataque ao espa?o e teto competitivo alto",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,segundo_atacante,1,phase_2_support_positions,Diego Torres,anchor_to_top10,Sophia Smith,United States,2020,2026,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,"ruptura, agressividade e impacto em transicao",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,segundo_atacante,2,phase_2_support_positions,Diego Torres,anchor_to_top10,Lauren James,England,2021,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,talento criativo e desequilibrio perto da area,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,segundo_atacante,3,phase_2_support_positions,Diego Torres,anchor_to_top10,Fran Kirby,England,2014,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"associacao, mobilidade e ultimo passe",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,segundo_atacante,4,phase_2_support_positions,Diego Torres,anchor_to_top10,Asisat Oshoala,Nigeria,2013,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"profundidade, ataque ao espaco e finalizacao",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,segundo_atacante,5,phase_2_support_positions,Diego Torres,anchor_to_top10,Salma Paralluelo,Spain,2021,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"explosao, teto alto e amplitude ofensiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,volante,1,phase_1_core_positions,Diego Torres,anchor_to_top10,Amandine Henry,France,2007,2025,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,identified_public_sources,external_audit_passed,"controle, experiencia e competitividade de elite",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,volante,2,phase_1_core_positions,Diego Torres,anchor_to_top10,Grace Geyoro,France,2012,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"intensidade, equilibrio e chegada",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,volante,3,phase_1_core_positions,Diego Torres,anchor_to_top10,Yui Hasegawa,Japan,2013,2026,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,identified_public_sources,external_audit_passed,"controle, mobilidade e inteligencia",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,volante,4,phase_1_core_positions,Diego Torres,anchor_to_top10,Lia Walti,Switzerland,2007,2026,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,identified_public_sources,external_audit_passed,"posicionamento, passe e jogo limpo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,volante,5,phase_1_core_positions,Diego Torres,anchor_to_top10,Georgia Stanway,England,2015,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"dinamismo, intensidade e versatilidade central",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,zagueiro,1,phase_1_core_positions,Diego Torres,anchor_to_top10,Irene Paredes,Spain,2008,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"lideranca, bola aerea e alto nivel europeu",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,zagueiro,2,phase_1_core_positions,Diego Torres,anchor_to_top10,Becky Sauerbrunn,United States,2005,2025,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,lideranca defensiva e consistencia internacional,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,zagueiro,3,phase_1_core_positions,Diego Torres,anchor_to_top10,Millie Bright,England,2014,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"duelo, imposicao fisica e regularidade",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,zagueiro,4,phase_1_core_positions,Diego Torres,anchor_to_top10,Kadeisha Buchanan,Canada,2013,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"cobertura, velocidade e experiencia europeia",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,zagueiro,5,phase_1_core_positions,Diego Torres,anchor_to_top10,Rafaelle,Brazil,2012,2026,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,"lideranca, leitura e impacto internacional",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,centroavante,1,phase_1_core_positions,Diego Torres,anchor_to_top10,Ronaldo Nazario,Brazil,1993,2011,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"explosao, finalizacao e referencia historica",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,centroavante,2,phase_1_core_positions,Diego Torres,anchor_to_top10,Thierry Henry,France,1994,2014,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"mobilidade, profundidade e decisao ofensiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,centroavante,3,phase_1_core_positions,Diego Torres,anchor_to_top10,Robert Lewandowski,Poland,2008,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,regularidade goleadora e inteligencia de area,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,centroavante,4,phase_1_core_positions,Diego Torres,anchor_to_top10,Karim Benzema,France,2004,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"associacao, finalizacao e impacto em jogos grandes",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,centroavante,5,phase_1_core_positions,Diego Torres,anchor_to_top10,Luis Suarez,Uruguay,2005,2026,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"agressividade ofensiva, repertorio e competitividade",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,goleiro,1,phase_1_core_positions,Diego Torres,anchor_to_top10,Thibaut Courtois,Belgium,2009,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,identified_public_sources,external_audit_passed,goleiro de elite em jogos grandes e consistencia moderna,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,goleiro,2,phase_1_core_positions,Diego Torres,anchor_to_top10,Edwin van der Sar,Netherlands,1990,2011,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"longevidade, seguranca de area e regularidade competitiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,goleiro,3,phase_1_core_positions,Diego Torres,anchor_to_top10,Petr Cech,Czech Republic,1999,2019,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"reflexo, consistencia e alto nivel competitivo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,goleiro,4,phase_1_core_positions,Diego Torres,anchor_to_top10,Dida,Brazil,1992,2015,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,impacto internacional e historico de titulos,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,goleiro,5,phase_1_core_positions,Diego Torres,anchor_to_top10,Peter Schmeichel,Denmark,1981,2003,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"lideranca, presenca de area e legado historico",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_direito,1,phase_2_support_positions,Helena Martins,anchor_to_top10,Trent Alexander-Arnold,England,2016,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"passe, criacao e impacto moderno pelo corredor",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_direito,2,phase_2_support_positions,Helena Martins,anchor_to_top10,Gary Neville,England,1992,2011,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"regularidade, disciplina e longevidade competitiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_direito,3,phase_2_support_positions,Helena Martins,anchor_to_top10,Joao Cancelo,Portugal,2012,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"versatilidade, associacao e leitura por dentro",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_direito,4,phase_2_support_positions,Helena Martins,anchor_to_top10,Kyle Walker,England,2008,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"velocidade, cobertura e impacto defensivo em campo aberto",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_direito,5,phase_2_support_positions,Helena Martins,anchor_to_top10,Achraf Hakimi,Morocco,2016,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"profundidade, explosao e producao ofensiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_esquerdo,1,phase_2_support_positions,Helena Martins,anchor_to_top10,Patrice Evra,France,1998,2018,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"regularidade, experiencia e perfil competitivo alto",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_esquerdo,2,phase_2_support_positions,Helena Martins,anchor_to_top10,Marcelo,Brazil,2005,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"criatividade, tecnica e impacto ofensivo historico",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_esquerdo,3,phase_2_support_positions,Helena Martins,anchor_to_top10,Andrew Robertson,Scotland,2013,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"intensidade, cruzamento e repeticao de alta entrega",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_esquerdo,4,phase_2_support_positions,Helena Martins,anchor_to_top10,Theo Hernandez,France,2015,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"potencia, progressao e agressividade ofensiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_esquerdo,5,phase_2_support_positions,Helena Martins,anchor_to_top10,Bixente Lizarazu,France,1988,2006,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"equilibrio defensivo, leitura e consistencia em alto nivel",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_central,1,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Toni Kroos,Germany,2007,2024,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"controle, passe e dominio de ritmo competitivo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_central,2,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Clarence Seedorf,Netherlands,1992,2014,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"forca, tecnica e longevidade em elite europeia",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_central,3,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Steven Gerrard,England,1998,2016,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"lideranca, chegada e impacto em jogos grandes",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_central,4,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Frank Lampard,England,1995,2017,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"producao ofensiva, chegada na area e constancia",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
