athlete_name,competition_track,canonical_position_code,position_family,nationality,active_from,active_to,primary_source_url,secondary_source_url,source_confidence,performance_official,position_excellence,competitive_peak,longevity,international_continental_impact,scout_awards_consensus,hub_elite_score,speed,technique,game_iq,physical,style_tags,profile_headline,development_note,review_status,notes
Roberto Carlos,masculino,lateral_esquerdo,lateral,Brazil,1991,2015,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,0.86,93,96,96,92,95,93,95,94,86,84,88,explosao|bola parada|amplitude,lateral explosivo ofensivo e decisivo em bola parada,Trabalhar finalizacao cruzamento e aceleracao com controle,seed_beta,seed inicial pendente de auditoria completa
Marcelo,masculino,lateral_esquerdo,lateral,Brazil,2005,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.84,91,94,93,90,90,91,92,86,91,86,78,tecnica|criatividade|apoio,lateral criativo tecnico e forte por dentro e por fora,Trabalhar associacao recomposicao e controle emocional,seed_beta,seed inicial pendente de auditoria completa
Ashley Cole,masculino,lateral_esquerdo,lateral,England,1999,2019,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.80,89,93,90,91,89,88,90,85,78,88,82,duelo|equilibrio|marcacao,lateral equilibrado forte defensivamente e regular,Trabalhar um contra um defensivo apoio seguro e cobertura,seed_beta,seed inicial pendente de auditoria completa
Jordi Alba,masculino,lateral_esquerdo,lateral,Spain,2008,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.80,88,91,89,86,88,87,88,90,84,86,75,profundidade|associacao|velocidade,lateral veloz associativo e forte na profundidade,Trabalhar timing de ataque ao espaco e ultimo passe,seed_beta,seed inicial pendente de auditoria completa
Paolo Maldini,masculino,lateral_esquerdo,lateral,Italy,1985,2009,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.86,94,98,96,95,95,96,96,80,84,96,86,elegancia|leitura|defesa,lateral e defensor historico de leitura elite,Trabalhar postura defensiva leitura e duelo limpo,seed_beta,seed inicial pendente de auditoria completa
Fabio Cannavaro,masculino,zagueiro,zagueiro,Italy,1992,2011,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,0.84,91,96,96,88,92,95,94,78,78,95,84,antecipacao|lideranca|duelo,zagueiro de antecipacao elite e lideranca defensiva,Trabalhar tempo de bote leitura e comando de linha,seed_beta,seed inicial pendente de auditoria completa
Alessandro Nesta,masculino,zagueiro,zagueiro,Italy,1993,2014,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.82,90,96,92,88,88,93,92,76,82,94,85,elegancia|posicionamento|desarme,zagueiro tecnico limpo e dominante em posicionamento,Trabalhar desarme sem falta e saida curta,seed_beta,seed inicial pendente de auditoria completa
Sergio Ramos,masculino,zagueiro,zagueiro,Spain,2004,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.86,94,95,95,91,96,95,95,82,83,90,90,lideranca|jogo aereo|competitividade,zagueiro competitivo decisivo e forte em jogos grandes,Trabalhar timing defensivo bola aerea e controle emocional,seed_beta,seed inicial pendente de auditoria completa
Virgil van Dijk,masculino,zagueiro,zagueiro,Netherlands,2011,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.82,90,95,94,86,88,91,91,83,82,91,92,dominancia|velocidade|comando,zagueiro dominante forte no duelo e seguro em campo aberto,Trabalhar orientacao corporal controle de profundidade e lideranca,seed_beta,seed inicial pendente de auditoria completa
Thiago Silva,masculino,zagueiro,zagueiro,Brazil,2002,2026,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,0.82,89,94,91,90,88,90,91,78,82,94,86,posicionamento|saida limpa|comando,zagueiro cerebral tecnico e seguro na organizacao,Trabalhar leitura de linha antecipacao e comunicacao,seed_beta,seed inicial pendente de auditoria completa
Claude Makelele,masculino,volante,volante,France,1992,2011,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.82,88,96,92,87,86,90,91,74,79,93,82,protecao|equilibrio|cobertura,volante posicional que equilibra o time sem excesso,Trabalhar cobertura jogo simples e leitura de segunda bola,seed_beta,seed inicial pendente de auditoria completa
Sergio Busquets,masculino,volante,volante,Spain,2008,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.86,91,97,94,91,92,94,94,66,89,97,78,controle|pressao|passe,volante cerebral que controla ritmo e pressao,Trabalhar orientacao corporal passe curto e leitura antes de receber,seed_beta,seed inicial pendente de auditoria completa
Casemiro,masculino,volante,volante,Brazil,2010,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.84,91,94,92,87,91,90,91,73,79,88,91,duelo|antecipacao|competitividade,volante intenso forte nos duelos e na protecao,Trabalhar timing de combate passe seguro e cobertura,seed_beta,seed inicial pendente de auditoria completa
Patrick Vieira,masculino,volante,volante,France,1993,2011,https://www.fifa.com/en/archive,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.80,90,94,92,89,90,90,91,82,83,88,94,potencia|conducao|lideranca,volante fisico dominante e vertical com bola,Trabalhar conducao duelo e controle de transicao,seed_beta,seed inicial pendente de auditoria completa
Gilberto Silva,masculino,volante,volante,Brazil,1997,2015,https://www.fifa.com/en/archive,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.78,87,92,89,86,90,86,88,74,78,92,84,protecao da defesa|jogo simples|lideranca silenciosa,volante equilibrado disciplinado e forte na leitura defensiva,Trabalhar cobertura passe seguro e controle de ritmo,seed_beta,seed inicial pendente de auditoria completa
Xavi Hernandez,masculino,meia_central,meia,Spain,1998,2019,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.88,94,98,97,91,95,96,96,74,95,98,72,controle|passe|ritmo,meia cerebral de passe elite e controle total do jogo,Trabalhar leitura antes de receber passe vertical e apoio constante,seed_beta,seed inicial pendente de auditoria completa
Andres Iniesta,masculino,meia_central,meia,Spain,2002,2024,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.88,93,97,96,90,95,96,95,78,96,95,72,drible curto|decisao|associacao,meia tecnico decisivo e capaz de quebrar linhas,Trabalhar dominio orientado conducao curta e passe final,seed_beta,seed inicial pendente de auditoria completa
Luka Modric,masculino,meia_central,meia,Croatia,2003,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.88,94,97,96,93,96,97,97,78,92,96,76,ritmo|resiliencia|passe,meia completo criativo e longevo em alto nivel,Trabalhar controle de ritmo passe de ruptura e resistencia,seed_beta,seed inicial pendente de auditoria completa
Andrea Pirlo,masculino,meia_central,meia,Italy,1995,2017,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.84,91,96,93,90,92,94,93,68,95,97,70,passe longo|ritmo|bola parada,meia organizador de elite pela visao e precisao,Trabalhar passe longo orientacao corporal e bola parada,seed_beta,seed inicial pendente de auditoria completa
Kevin De Bruyne,masculino,meia_central,meia,Belgium,2008,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.84,92,95,94,86,88,92,92,78,93,92,80,passe vertical|cruzamento|intensidade,meia agressivo de passe final e volume ofensivo,Trabalhar passe de ruptura finalizacao e intensidade,seed_beta,seed inicial pendente de auditoria completa
Zinedine Zidane,masculino,meia_ofensivo,meia,France,1989,2006,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,0.88,94,98,98,87,97,98,97,78,98,96,84,elegancia|decisao|jogos grandes,meia ofensivo decisivo tecnico e dominante em jogos grandes,Trabalhar dominio orientado pausa e decisao no ultimo terco,seed_beta,seed inicial pendente de auditoria completa
Kaka,masculino,meia_ofensivo,meia,Brazil,2001,2017,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,0.84,91,94,96,80,89,93,91,88,91,89,80,conducao|aceleracao|finalizacao,meia ofensivo vertical elegante e decisivo em transicao,Trabalhar conducao em velocidade passe final e finalizacao,seed_beta,seed inicial pendente de auditoria completa
Ronaldinho,masculino,meia_ofensivo,meia,Brazil,1998,2018,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,0.86,93,97,97,84,91,96,95,82,96,88,72,improviso|drible|criatividade,meia ofensivo criativo leve e imprevisivel,Trabalhar criatividade com objetivo passe final e finalizacao,seed_beta,seed inicial pendente de auditoria completa
Mesut Ozil,masculino,meia_ofensivo,meia,Germany,2006,2023,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.78,88,93,90,84,87,89,89,76,92,91,70,assistencia|visao|ultimo passe,meia de visao refinada e passe final elite,Trabalhar intensidade sem bola passe final e ocupacao de espaco,seed_beta,seed inicial pendente de auditoria completa
David Silva,masculino,meia_ofensivo,meia,Spain,2004,2023,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.80,89,94,91,89,90,89,90,76,93,92,72,associacao|controle|criatividade,meia associativo tecnico e consistente entre linhas,Trabalhar apoio curto passe vertical e leitura de entrelinha,seed_beta,seed inicial pendente de auditoria completa
Lionel Messi,masculino,ponta_direita,ponta,Argentina,2004,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.90,99,99,99,96,98,99,99,88,99,98,78,drible|criacao|finalizacao,ponta e atacante historico de tecnica decisao e producao,Trabalhar drible objetivo associacao e finalizacao com as duas pernas,seed_beta,seed inicial pendente de auditoria completa
Mohamed Salah,masculino,ponta_direita,ponta,Egypt,2010,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.84,93,94,94,86,91,92,93,94,90,88,82,diagonal|velocidade|finalizacao,ponta vertical intenso e decisivo atacando a area,Trabalhar ataque ao espaco finalizacao e tomada de decisao,seed_beta,seed inicial pendente de auditoria completa
Arjen Robben,masculino,ponta_direita,ponta,Netherlands,2000,2021,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.82,90,93,92,86,88,90,90,92,90,86,78,diagonal|arrancada|finalizacao,ponta de diagonal letal e aceleracao curta,Trabalhar mudanca de direcao finalizacao e protecao de bola,seed_beta,seed inicial pendente de auditoria completa
Luis Figo,masculino,ponta_direita,ponta,Portugal,1989,2009,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.82,90,93,92,88,91,91,91,84,91,89,80,drible|cruzamento|criacao,ponta classico tecnico e criador pelo corredor,Trabalhar cruzamento passe de ruptura e protecao da bola,seed_beta,seed inicial pendente de auditoria completa
Angel Di Maria,masculino,ponta_direita,ponta,Argentina,2005,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.80,89,92,91,88,92,89,90,86,90,88,74,assistencia|diagonal|decisao,ponta associativo decisivo e forte em assistencias,Trabalhar cruzamento tomada de decisao e intensidade,seed_beta,seed inicial pendente de auditoria completa
Cristiano Ronaldo,masculino,ponta_esquerda,ponta,Portugal,2002,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.90,99,98,99,97,99,99,99,93,92,90,92,finalizacao|mentalidade|jogo aereo,ponta e finalizador historico de impacto e longevidade,Trabalhar finalizacao ataque a area impulsao e mentalidade,seed_beta,seed inicial pendente de auditoria completa
Neymar,masculino,ponta_esquerda,ponta,Brazil,2009,2026,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,0.86,94,95,95,86,91,94,93,88,95,88,74,drible curto|assistencia|criatividade,ponta tecnico associativo e criador de desequilibrio,Trabalhar decisao rapida passe final e protecao contra contato,seed_beta,seed inicial pendente de auditoria completa
Vinicius Junior,masculino,ponta_esquerda,ponta,Brazil,2017,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.82,88,90,90,74,82,88,87,96,88,82,78,arrancada|um contra um|profundidade,ponta explosivo agressivo e vertical no duelo,Trabalhar escolha da jogada finalizacao e ataque ao espaco,seed_beta,seed inicial pendente de auditoria completa
Eden Hazard,masculino,ponta_esquerda,ponta,Belgium,2007,2023,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.78,89,92,91,82,84,89,88,90,92,86,76,drible|equilibrio|criacao,ponta criativo de drible curto e conducoes decisivas,Trabalhar objetividade fisico e finalizacao apos drible,seed_beta,seed inicial pendente de auditoria completa
Franck Ribery,masculino,ponta_esquerda,ponta,France,2000,2022,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.78,88,91,90,86,87,88,89,88,90,87,76,drible|intensidade|associacao,ponta intenso tecnico e forte em combinacoes,Trabalhar associacao ataque ao espaco e ultimo passe,seed_beta,seed inicial pendente de auditoria completa
Roberto Baggio,masculino,segundo_atacante,atacante,Italy,1982,2004,https://www.fifa.com/en/archive,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.78,88,94,94,82,90,94,91,76,96,93,70,classe|criacao|finalizacao,segundo atacante artistico tecnico e decisivo,Trabalhar criatividade finalizacao e leitura de entrelinhas,seed_beta,seed inicial pendente de auditoria completa
Francesco Totti,masculino,segundo_atacante,atacante,Italy,1992,2017,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.82,90,95,93,90,90,92,92,72,93,94,82,passe final|lideranca|finalizacao,segundo atacante cerebral com passe e finalizacao elite,Trabalhar apoio entrelinhas passe final e finalizacao,seed_beta,seed inicial pendente de auditoria completa
Dennis Bergkamp,masculino,segundo_atacante,atacante,Netherlands,1986,2006,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,0.78,87,93,91,84,86,90,89,74,94,92,76,dominio|visao|elegancia,segundo atacante tecnico de dominio orientado e visao,Trabalhar primeiro toque pausa e assistencia,seed_beta,seed inicial pendente de auditoria completa
Antoine Griezmann,masculino,segundo_atacante,atacante,France,2009,2026,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,0.82,91,92,91,86,93,88,90,82,88,91,78,movimento|pressao|associacao,segundo atacante inteligente associativo e trabalhador,Trabalhar movimentacao sem bola pressao e decisao no ultimo terco,seed_beta,seed inicial pendente de auditoria completa
Wayne Rooney,masculino,segundo_atacante,atacante,England,2002,2021,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.82,92,91,92,89,91,90,91,84,87,86,87,potencia|sacrificio|finalizacao,atacante completo intenso e competitivo,Trabalhar finalizacao passe vertical e equilibrio emocional,seed_beta,seed inicial pendente de auditoria completa
Ronaldo Nazario,masculino,centroavante,atacante,Brazil,1993,2011,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,0.88,96,97,99,82,96,98,96,94,90,86,88,explosao|finalizacao|ataque ao espaco,centroavante explosivo tecnico e objetivo para finalizar,Trabalhar ataque a profundidade finalizacao curta e protecao de bola,seed_beta,seed inicial pendente de auditoria completa
Thierry Henry,masculino,centroavante,atacante,France,1994,2014,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.86,94,95,96,88,91,94,94,94,91,88,82,velocidade|diagonal|finalizacao,atacante veloz tecnico e decisivo atacando espaco,Trabalhar diagonal finalizacao e conducao em velocidade,seed_beta,seed inicial pendente de auditoria completa
Robert Lewandowski,masculino,centroavante,atacante,Poland,2006,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.86,96,96,96,91,92,95,96,78,89,92,90,area|finalizacao|posicionamento,centroavante de area elite com tecnica e consistencia,Trabalhar posicionamento finalizacao de primeira e jogo de costas,seed_beta,seed inicial pendente de auditoria completa
Karim Benzema,masculino,centroavante,atacante,France,2004,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.86,94,95,95,89,94,93,94,80,91,92,82,associacao|finalizacao|inteligencia,centroavante associativo inteligente e decisivo,Trabalhar apoio passe final e ataque a area,seed_beta,seed inicial pendente de auditoria completa
Erling Haaland,masculino,centroavante,atacante,Norway,2016,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.80,92,93,93,74,86,89,91,89,82,84,96,potencia|profundidade|finalizacao,centroavante potente vertical e letal em finalizacao,Trabalhar apoio associativo primeiro toque e variacao de finalizacao,seed_beta,seed inicial pendente de auditoria completa
Hope Solo,feminino,goleiro,goleiro,United States,2000,2016,https://www.fifa.com/en/archive,https://www.transfermarkt.com/,0.82,90,95,93,86,94,92,92,62,80,90,84,explosao|seguranca|comando de area,goleira explosiva segura e dominante em jogos grandes,Trabalhar posicionamento tempo de bola e comando de area.,seed_beta,seed feminina inicial pendente de auditoria completa
Christiane Endler,feminino,goleiro,goleiro,Chile,2009,2026,https://www.uefa.com/,https://www.transfermarkt.com/,0.80,89,93,92,84,88,90,90,64,79,89,85,reflexo|lideranca|alcance,goleira de reflexo forte e grande presenca defensiva,Trabalhar reposicao leitura de cruzamento e controle de area.,seed_beta,seed feminina inicial pendente de auditoria completa
Lucy Bronze,feminino,lateral_direito,lateral,England,2007,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.86,92,96,94,89,93,95,94,88,83,85,87,forca|profundidade|duelo,lateral poderosa intensa e dominante no corredor,Trabalhar amplitude cruzamento e repeticao em alta intensidade.,seed_beta,seed feminina inicial pendente de auditoria completa
Ellie Carpenter,feminino,lateral_direito,lateral,Australia,2017,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.76,84,88,86,74,82,80,84,90,78,79,84,velocidade|profundidade|resistencia,lateral de alta velocidade e profundidade constante,Trabalhar cruzamento decisao no ultimo terco e recomposicao.,seed_beta,seed feminina inicial pendente de auditoria completa
Selma Bacha,feminino,lateral_esquerdo,lateral,France,2017,2026,https://www.uefa.com/,https://www.fifa.com/en/archive,0.76,85,89,87,73,81,81,84,87,82,80,79,profundidade|cruzamento|agressividade,lateral agressiva e muito forte no apoio ofensivo,Trabalhar cruzamento controle da corrida e recomposicao.,seed_beta,seed feminina inicial pendente de auditoria completa
Sakina Karchaoui,feminino,lateral_esquerdo,lateral,France,2012,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.78,86,90,88,80,84,83,86,88,84,82,76,conducao|drible|apoio,lateral tecnica e agressiva na conducao pelo lado,Trabalhar escolhas no ultimo passe e recomposicao defensiva.,seed_beta,seed feminina inicial pendente de auditoria completa
Wendie Renard,feminino,zagueiro,zagueiro,France,2006,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.86,92,97,95,91,92,95,95,73,79,92,94,jogo aereo|lideranca|comando defensivo,zagueira dominante no jogo aereo e na lideranca defensiva,Trabalhar leitura de linha imposicao fisica e organizacao da defesa.,seed_beta,seed feminina inicial pendente de auditoria completa
Irene Paredes,feminino,zagueiro,zagueiro,Spain,2010,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.80,88,92,90,84,87,86,89,70,80,91,88,posicionamento|comando|jogo aereo,zagueira de boa leitura e controle da linha defensiva,Trabalhar orientacao corporal saida limpa e bola aerea.,seed_beta,seed feminina inicial pendente de auditoria completa
Keira Walsh,feminino,volante,volante,England,2014,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.80,88,92,90,80,89,87,89,72,87,94,78,controle|passe|leitura,volante cerebral de controle e grande seguranca no passe,Trabalhar orientacao corporal passe vertical e cobertura.,seed_beta,seed feminina inicial pendente de auditoria completa
Saki Kumagai,feminino,volante,volante,Japan,2005,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.78,86,90,88,89,90,85,88,70,83,92,80,disciplina|leitura|equilibrio,volante disciplinada e muito forte na leitura do jogo,Trabalhar cobertura passe simples e controle de ritmo.,seed_beta,seed feminina inicial pendente de auditoria completa
Aitana Bonmati,feminino,meia_central,meia,Spain,2016,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.88,94,97,96,82,94,98,96,80,94,96,74,associacao|controle|jogo entre linhas,meia refinada de controle associacao e decisao elite,Trabalhar leitura entre linhas apoio curto e continuidade tecnica.,seed_beta,seed feminina inicial pendente de auditoria completa
Kim Little,feminino,meia_central,meia,Scotland,2006,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.76,87,91,89,88,80,85,88,76,90,92,72,controle|conducao|assistencia,meia tecnica de grande consistencia e controle de posse,Trabalhar leitura de ritmo passe vertical e apoio entre linhas.,seed_beta,seed feminina inicial pendente de auditoria completa
Alexia Putellas,feminino,meia_ofensivo,meia,Spain,2010,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.88,95,97,97,84,92,98,96,78,95,96,75,ultimo passe|controle|finalizacao,meia ofensiva de alta decisao tecnica e impacto ofensivo,Trabalhar passe final chegada na area e controle de ritmo ofensivo.,seed_beta,seed feminina inicial pendente de auditoria completa
Dzsenifer Marozsan,feminino,meia_ofensivo,meia,Germany,2007,2025,https://www.fifa.com/en/archive,https://www.uefa.com/,0.80,90,94,92,85,89,90,91,74,94,94,70,criacao|bola parada|ultimo passe,meia ofensiva criativa e refinada no passe final,Trabalhar pausa ultimo passe e finalizacao de media distancia.,seed_beta,seed feminina inicial pendente de auditoria completa
Delphine Cascarino,feminino,ponta_direita,ponta,France,2014,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.78,86,89,88,77,84,82,86,92,84,80,74,arrancada|drible|profundidade,ponta de velocidade alta e grande agressividade no um contra um,Trabalhar escolha da jogada finalizacao e repeticao de acelera??es.,seed_beta,seed feminina inicial pendente de auditoria completa
Trinity Rodman,feminino,ponta_direita,ponta,United States,2021,2026,https://www.fifa.com/en/archive,https://www.transfermarkt.com/,0.74,83,87,86,68,80,81,84,91,82,79,82,forca|profundidade|agressividade,ponta forte veloz e muito agressiva em profundidade,Trabalhar decisao finalizacao e ataque ao espaco com constancia.,seed_beta,seed feminina inicial pendente de auditoria completa
Megan Rapinoe,feminino,ponta_esquerda,ponta,United States,2006,2023,https://www.fifa.com/en/archive,https://www.uefa.com/,0.82,89,92,91,86,95,94,91,78,92,93,70,criacao|bola parada|ultimo passe,ponta criativa decisiva e muito forte em assistencia e bola parada,Trabalhar ultimo passe tomada de decisao e cruzamento ofensivo.,seed_beta,seed feminina inicial pendente de auditoria completa
